,hex9,value
620,891f165458bffff,1161.2478
621,891f165458fffff,945.35724
622,891f16573cfffff,2016.4128
623,891f16573dbffff,1153.1355
624,891f16573c3ffff,1566.6716
625,891f16573c7ffff,1902.5847
626,891f16572a7ffff,699.6336
627,891f16573d3ffff,1056.8182
628,891f16573d7ffff,1402.6677
629,891f165738bffff,1765.6625
630,891f165706bffff,550.7984
631,891f1657297ffff,1034.7653
632,891f165704bffff,648.9017
633,891f165704fffff,303.38904
634,891f165707bffff,129.44139
635,891f165762fffff,1125.8279
636,891f165705bffff,1125.0139
637,891f1657043ffff,761.3155
638,891f1657047ffff,383.59412
639,891f1657627ffff,1461.5466
640,891f1657053ffff,1236.756
641,891f165706fffff,918.6246
642,891f165739bffff,1315.4559
643,891f1657063ffff,453.37265
644,891f1657067ffff,874.40076
645,891f1657393ffff,1283.4248
646,891f1657073ffff,152.98131
647,891f1657077ffff,396.00104
648,891f165702bffff,830.0405
649,891f165702fffff,1235.0565
650,891f165700fffff,163.65958
651,891f1657623ffff,973.7842
652,891f165761bffff,697.2132
653,891f1657603ffff,205.2014
654,891f1657607ffff,338.1974
655,891f1657633ffff,875.5405
656,891f1657613ffff,221.44423
657,891f1657617ffff,220.11847
658,891f16576abffff,723.8356
659,891f16576afffff,1228.2177
660,891f1657057ffff,884.0478
661,891f165700bffff,492.47128
662,891f1657637ffff,1393.1782
663,891f16570cbffff,1575.5889
664,891f16570cfffff,1352.027
665,891f165701bffff,975.1156
666,891f16570dbffff,1231.7595
667,891f16570c3ffff,1233.8796
668,891f16570c7ffff,1194.5325
669,891f1657013ffff,964.43097
670,891f165703bffff,453.6972
671,891f1657023ffff,783.96094
672,891f1657003ffff,569.91
673,891f1657007ffff,211.26309
674,891f1657033ffff,267.67175
675,891f1657037ffff,589.2218
676,891f1657017ffff,538.22595
677,891f16570abffff,236.80173
678,891f16570afffff,177.67674
679,891f165708fffff,781.3382
680,891f165768fffff,303.88174
681,891f16576bbffff,707.40796
682,891f16576a3ffff,1024.8278
683,891f1657683ffff,575.5025
684,891f1657687ffff,768.4202
685,891f16576b3ffff,662.9542
686,891f16576b7ffff,623.01294
687,891f1657697ffff,668.1939
688,891f165744bffff,461.44244
689,891f165744fffff,236.44292
690,891f16576a7ffff,906.74005
691,891f16570d3ffff,805.34656
692,891f16570d7ffff,805.2171
693,891f165708bffff,765.83234
694,891f165746bffff,381.6906
695,891f165746fffff,421.23798
696,891f165709bffff,348.21832
697,891f1657083ffff,361.6303
698,891f1657463ffff,112.08598
699,891f1657467ffff,129.72263
700,891f16570bbffff,638.69165
701,891f16570a3ffff,290.9371
702,891f16570a7ffff,114.13997
703,891f1657087ffff,400.30405
704,891f16570b3ffff,224.61635
705,891f16570b7ffff,128.50089
706,891f165756bffff,230.55562
707,891f165754bffff,201.2922
708,891f165754fffff,292.49756
709,891f165757bffff,247.2268
710,891f16571dbffff,519.0249
711,891f16571c3ffff,714.8692
712,891f16571c7ffff,781.37823
713,891f1657113ffff,577.9078
714,891f1657117ffff,239.49892
715,891f16571d3ffff,298.0465
716,891f16571d7ffff,335.4035
717,891f165718bffff,470.11026
718,891f165718fffff,241.00154
719,891f165756fffff,161.16394
720,891f1657137ffff,795.8252
721,891f16544cbffff,941.0613
722,891f16571abffff,280.7841
723,891f165626fffff,105.2727
724,891f165624bffff,98.804344
725,891f1656263ffff,458.56915
726,891f1656247ffff,101.374054
727,891f1656273ffff,365.24805
728,891f1656277ffff,529.2196
729,891f1656257ffff,518.7473
730,891f1654443ffff,517.17676
731,891f165449bffff,210.54308
732,891f1656267ffff,149.35602
733,891f1654493ffff,245.17273
734,891f165622bffff,336.68494
735,891f165622fffff,336.99792
736,891f165623bffff,737.55914
737,891f1656223ffff,701.8586
738,891f1656227ffff,616.69104
739,891f1656233ffff,875.0687
740,891f165719bffff,127.96398
741,891f1657183ffff,124.34427
742,891f1657567ffff,235.02702
743,891f1657193ffff,150.9247
744,891f1657197ffff,150.64995
745,891f165752bffff,421.18912
746,891f165752fffff,471.0219
747,891f165625bffff,338.56854
748,891f165750fffff,230.00635
749,891f165753bffff,580.2958
750,891f1657523ffff,853.2393
751,891f1657527ffff,853.2561
752,891f1656253ffff,818.08636
753,891f1657507ffff,684.59784
