,hex8,Value,lat,lng,suitability
2249,881f16ce9bfffff,0.81119424,52.335525319880894,6.6687799040882485,81.1
2250,881f16ce9dfffff,0.7451526,52.33050291528706,6.64742872042555,74.5
2251,881f16cea1fffff,0.6628118,52.30660314513393,6.612127910365599,66.3
2252,881f16cea3fffff,0.6887289,52.30565604979914,6.624640420350888,68.9
2253,881f16cea5fffff,0.7331045,52.30062601434596,6.603307859230699,73.3
2254,881f16cea7fffff,0.67931336,52.299679568304285,6.615818705088937,67.9
2255,881f16cea9fffff,0.6597107,52.31352573969679,6.608436423615436,66.0
2256,881f16ceabfffff,0.63256514,52.31257940109329,6.620950021749156,63.3
2257,881f16ceadfffff,0.7280104,52.30754883439046,6.5996159768992895,72.8
2258,881f16ceb1fffff,0.7483686,52.31068250447813,6.645978944326356,74.8
2259,881f16ceb3fffff,0.8102864,52.30973194601217,6.658494266460855,81.0
2260,881f16ceb5fffff,0.7599718,52.30470754815868,6.637153505701422,76.0
2261,881f16ceb7fffff,0.822041,52.303757639985406,6.649667165263151,82.2
2262,881f16ceb9fffff,0.6779669,52.31760638672408,6.6422900314519895,67.8
2263,881f16cebbfffff,0.72646827,52.31665658475929,6.654806443187343,72.6
2264,881f16cebdfffff,0.69252205,52.31163165609616,6.63346419570421,69.3
2265,881f16cec1fffff,0.77934587,52.34026298230103,6.606181504635425,77.9
2266,881f16cec3fffff,0.8404781,52.339318264216985,6.618700033852642,84.0
2267,881f16cec5fffff,0.7091933,52.3342876289644,6.597357809563844,70.9
2268,881f16cec7fffff,0.7425039,52.33334356075825,6.609874672648115,74.3
2269,881f16cec9fffff,0.7845603,52.34718142120153,6.60248764385966,78.5
2270,881f16cecbfffff,0.85606146,52.346237459930414,6.615007262103205,85.6
2271,881f16cecdfffff,0.7182461,52.341206293640425,6.593663553066014,71.8
2272,881f16ced1fffff,0.91488093,52.344345315979645,6.6400482282825175,91.5
2273,881f16ced3fffff,0.8646909,52.34339713284479,6.652569573906177,86.5
2274,881f16ced5fffff,0.87131363,52.33837213916041,6.631219139562315,87.1
2275,881f16ced9fffff,0.9086096,52.35126504243324,6.636356943282237,90.9
2276,881f16ceddfffff,0.9111633,52.34529209159902,6.627527457296097,91.1
2277,881f16cee1fffff,0.736065,52.32139152749528,6.592230135739914,73.6
2278,881f16cee3fffff,0.65900344,52.32044735191079,6.604744244674431,65.9
2279,881f16cee5fffff,0.8094424,52.31541419863356,6.583410959427591,80.9
2280,881f16cee7fffff,0.73577076,52.31447067213424,6.595923402457003,73.6
2281,881f16cee9fffff,0.7414426,52.32831140039167,6.58853617658396,74.1
2282,881f16ceebfffff,0.6829068,52.32736798169394,6.601051373378597,68.3
2283,881f16ceedfffff,0.79926276,52.32233429705408,6.579716605391146,79.9
2284,881f16cf01fffff,0.75926894,52.2901948265889,6.476834195543413,75.9
2285,881f16cf03fffff,0.7611582,52.28926155832927,6.489335381442874,76.1
2286,881f16cf05fffff,0.74168974,52.28420903005176,6.468035725328665,74.2
2287,881f16cf07fffff,0.79775435,52.28327640707811,6.480535240936623,79.8
2288,881f16cf09fffff,0.8038737,52.29711226375783,6.473132457782595,80.4
2289,881f16cf0bfffff,0.7671842,52.29617975314021,6.485634726010826,76.7
2290,881f16cf0dfffff,0.84281266,52.29112669186746,6.464333598146828,84.3
2291,881f16cf11fffff,0.7288736,52.29431052178099,6.5106410247548245,72.9
2292,881f16cf15fffff,0.74781495,52.28832688685813,6.501837154696361,74.8
2293,881f16cf19fffff,0.69474167,52.30122924929277,6.506941843069931,69.5
2294,881f16cf1dfffff,0.7298121,52.29524583922469,6.498137582051369,73.0
2295,881f16cf21fffff,0.8854663,52.27130349539539,6.462941138998155,88.5
2296,881f16cf23fffff,0.8907835,52.27037075962309,6.4754379029976015,89.1
2297,881f16cf25fffff,0.8530583,52.26531573590725,6.454147176949019,85.3
2298,881f16cf27fffff,0.84362733,52.26438364462826,6.466642270897323,84.4
2299,881f16cf29fffff,0.76860243,52.27822236400043,6.459239315057928,76.9
2300,881f16cf2bfffff,0.8540483,52.27729038594292,6.471737160224491,85.4
2301,881f16cf2dfffff,0.86910087,52.27223482890661,6.45044496442242,86.9
2302,881f16cf31fffff,0.79252917,52.275422221863735,6.4967346156129855,79.3
2303,881f16cf33fffff,0.7971941,52.27448603538155,6.50923422353869,79.7
2304,881f16cf35fffff,0.76697296,52.26943662135919,6.48793525527336,76.7
2305,881f16cf37fffff,0.7496826,52.26850108037347,6.500433194677799,75.0
2306,881f16cf39fffff,0.8010327,52.28234238120975,6.493035344589138,80.1
2307,881f16cf3bfffff,0.75958127,52.28140695221635,6.505536035137671,76.0
2308,881f16cf3dfffff,0.8565829,52.27635700530747,6.484235594125503,85.7
2309,881f16cf41fffff,0.7232471,52.30495906829172,6.456927266271796,72.3
2310,881f16cf43fffff,0.74217665,52.30402871850292,6.469430027490682,74.2
2311,881f16cf47fffff,0.8086195,52.29804337130807,6.460630778515644,80.9
2312,881f16cf49fffff,0.6672021,52.31187378273665,6.453223061251878,66.7
2313,881f16cf4bfffff,0.67388487,52.31094419074245,6.46572690450427,67.4
2314,881f16cf4dfffff,0.63894856,52.30588801515794,6.444425095621869,63.9
2315,881f16cf51fffff,0.66685194,52.309080796804224,6.4907363594963146,66.7
2316,881f16cf53fffff,0.6468609,52.308146994398776,6.503241968936567,64.7
2317,881f16cf55fffff,0.72529376,52.3030969655606,6.481933378129547,72.5
2318,881f16cf57fffff,0.70366406,52.30216380923402,6.494437317039182,70.4
2319,881f16cf59fffff,0.6042303,52.31599680185351,6.487034709259234,60.4
2320,881f16cf5bfffff,0.63983953,52.315063757017136,6.4995414021911655,64.0
2321,881f16cf5dfffff,0.6688809,52.3100131955086,6.478231337635596,66.9
2322,881f16cf61fffff,0.84869933,52.28607006823727,6.443038462838852,84.9
2323,881f16cf63fffff,0.8215178,52.28514025036118,6.455536798913445,82.2
2324,881f16cf65fffff,0.8292996,52.2800821133047,6.434245395518251,82.9
2325,881f16cf67fffff,0.8624349,52.27915293971069,6.446742059773444,86.2
2326,881f16cf69fffff,0.78021765,52.29298621440442,6.439334173455503,78.0
2327,881f16cf6bfffff,0.8697308,52.29205715439563,6.45183359040146,87.0
2328,881f16cf6dfffff,0.77274305,52.28699848391115,6.430540718252408,77.3
2329,881f16d427fffff,0.35637966,52.493168156340325,6.512214328656457,35.6
2330,881f16d501fffff,0.56124204,52.47709762662477,6.460656443814187,56.1
2331,881f16d503fffff,0.64679956,52.47617574059496,6.473192143293821,64.7
2332,881f16d505fffff,0.48440427,52.47112267241111,6.451835317128512,48.4
2333,881f16d507fffff,0.6130034,52.4702014353737,6.464369335979621,61.3
2334,881f16d511fffff,0.6165103,52.48122522710008,6.49455499397496,61.7
2335,881f16d513fffff,0.5735124,52.48029987636699,6.507093555711548,57.4
2336,881f16d515fffff,0.72149813,52.47525244732903,6.485728434938831,72.1
2337,881f16d517fffff,0.72029674,52.47432774659464,6.498265317590804,72.0
2338,881f16d51bfffff,0.41192973,52.48719713026066,6.503383625110713,41.2
2339,881f16d521fffff,0.5043738,52.4582501995063,6.446729935927168,50.4
2340,881f16d523fffff,0.6506298,52.457328853058506,6.459261187320934,65.1
2341,881f16d525fffff,0.5764812,52.45227326980149,6.437913342565537,57.6
2342,881f16d527fffff,0.6001966,52.45135257155129,6.4504429135747765,60.0
2343,881f16d529fffff,0.4515649,52.465146843269885,6.4430162622224,45.2
2344,881f16d52bfffff,0.5426944,52.46422625485395,6.4555486002946045,54.3
2345,881f16d531fffff,0.84496635,52.462380857988336,6.480615055949693,84.5
2346,881f16d533fffff,0.8359066,52.46145604907375,6.49314917121776,83.6
2347,881f16d535fffff,0.81648564,52.45640610009555,6.471793031808343,81.6
2348,881f16d537fffff,0.88440806,52.45548194038499,6.484325468232418,88.4
2349,881f16d539fffff,0.76391804,52.469278791418034,6.476903947691743,76.4
2350,881f16d53bfffff,0.84544915,52.468354740311575,6.489439151106981,84.5
2351,881f16d53dfffff,0.70463467,52.46330425983764,6.46808153192278,70.5
2352,881f16d581fffff,0.60628,52.47061486433652,6.548418735088033,60.6
2353,881f16d583fffff,0.5290991,52.46968312278545,6.560958555386625,52.9
2354,881f16d585fffff,0.6529797,52.4646444597393,6.539585858630968,65.3
2355,881f16d587fffff,0.5728409,52.46371336940248,6.552124003182627,57.3
2356,881f16d589fffff,0.6323195,52.47751537513386,6.544712771186988,63.2
2357,881f16d58bfffff,0.55310327,52.47658439094063,6.557253682567281,55.3
2358,881f16d58dfffff,0.6857338,52.47154519726199,6.535879499999206,68.6
2359,881f16d591fffff,0.39467484,52.47471819549626,6.582337257696932,39.5
2360,881f16d593fffff,0.3510031,52.47378298378467,6.5948799191239456,35.1
2361,881f16d595fffff,0.4416294,52.46874997237826,6.573498959734576,44.2
2362,881f16d597fffff,0.38496813,52.467815412884725,6.586039946971118,38.5
2363,881f16d599fffff,0.41998658,52.481619993990286,6.578633872703226,42.0
2364,881f16d59bfffff,0.3443493,52.48068553940991,6.5911776266776565,34.4
2365,881f16d59dfffff,0.4752822,52.47565199780486,6.569795178457604,47.5
2366,881f16d5a1fffff,0.60994136,52.45177122942787,6.534461110143591,61.0
2367,881f16d5a3fffff,0.54055655,52.45084003250279,6.54699648888418,54.1
2368,881f16d5a5fffff,0.64224803,52.44579884377733,6.525632768691929,64.2
2369,881f16d5a7fffff,0.56228,52.44486829727218,6.538166471920621,56.2
2370,881f16d5a9fffff,0.6483513,52.458673177619445,6.530755052887755,64.8
2371,881f16d5abfffff,0.59149486,52.457742738126456,6.543291521537682,59.1
2372,881f16d5adfffff,0.6757351,52.45270101844751,6.521926317549607,67.6
2373,881f16d5b1fffff,0.4422066,52.45587763424273,6.56836621402242,44.2
2374,881f16d5b3fffff,0.47378355,52.45494296939128,6.580904435537697,47.4
2375,881f16d5b5fffff,0.4785678,52.44990742744162,6.559532452612383,47.9
2376,881f16d5b7fffff,0.50779,52.448973414014,6.572069000168832,50.8
2377,881f16d5bbfffff,0.4165909,52.46184696288059,6.577202045372924,41.7
2378,881f16d5bdfffff,0.53130776,52.456810890411056,6.555828575635771,53.1
2379,881f16d5c1fffff,0.5083836,52.48534371972014,6.5284646949006895,50.8
2380,881f16d5c3fffff,0.5521734,52.48441490171537,6.541006111314502,55.2
2381,881f16d5c5fffff,0.62047076,52.47937311761592,6.519632706598939,62.0
2382,881f16d5c7fffff,0.6664702,52.47844495061531,6.53217244547743,66.6
2383,881f16d5c9fffff,0.4097053,52.49224150449752,6.5247562481039925,41.0
2384,881f16d5cbfffff,0.46003807,52.491313444001975,6.53729875530561,46.0
2385,881f16d5cdfffff,0.45354626,52.48627112915808,6.515923865779327,45.4
2386,881f16d5d1fffff,0.47669655,52.48945309612791,6.562385528327417,47.7
2387,881f16d5d5fffff,0.5464872,52.48348467491264,6.553548113860247,54.6
2388,881f16d5d7fffff,0.49475086,52.48255303908115,6.566090701376916,49.5
2389,881f16d5ddfffff,0.4826286,52.49038397462244,6.549841849100473,48.3
2390,881f16d5e1fffff,0.79961115,52.46650241571804,6.514511328413942,80.0
2391,881f16d5e3fffff,0.7254583,52.46557414176748,6.527048299988249,72.5
2392,881f16d5e5fffff,0.7974327,52.46052983286182,6.505683876569003,79.7
2393,881f16d5e7fffff,0.7509844,52.45960220912087,6.518219170845213,75.1
2394,881f16d5e9fffff,0.72983736,52.47340163815976,6.5108027900910015,73.0
2395,881f16d5ebfffff,0.7514444,52.4724741217927,6.5233408512802775,75.1
2396,881f16d5edfffff,0.8312417,52.4674292818222,6.501974945067235,83.1
