IND_OBJ_KE,IND_WAARDE,IND_WAARD0,IND_OBJ_AA,IND_OBJ_NA,IND_OBJ_BE,IND_OBJ_GR,IND_PERIOD,IND_THEMA,IND_CULT_D,OBJECTID,x,y
,Rijksbeschermd,,Ja,"21522",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,132.000000000000000,6.8385633346,52.2606772349
,Rijksbeschermd,,Ja,"21524",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,133.000000000000000,6.8204932807,52.2550287040
,Rijksbeschermd,,Ja,"21525",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,134.000000000000000,6.7388488755,52.2469572214
,Rijksbeschermd,,Ja,"22215",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,135.000000000000000,6.4625100501,52.2796283109
,Rijksbeschermd,,Ja,"22216",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,136.000000000000000,6.3593775488,52.3100743244
,Rijksbeschermd,,Ja,"21527",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,142.000000000000000,6.7442918737,52.2765641763
,Rijksbeschermd,,Ja,"26273",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,145.000000000000000,6.9981308592,52.3518674798
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"26277",hallehuisgroep (saksische type),boerderijtypen,,landbouw,Gebouwd erfgoed,146.000000000000000,7.0171166257,52.2795992032
,Rijksbeschermd,,Ja,"26281",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,147.000000000000000,7.0027494263,52.3312485535
,Rijksbeschermd,,Ja,"26283",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,148.000000000000000,7.0281422937,52.3441974864
,Rijksbeschermd,,Ja,"26286",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,149.000000000000000,7.0264740140,52.3589113814
,Rijksbeschermd,,Ja,"26288",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,150.000000000000000,6.9960179425,52.3517232378
,Rijksbeschermd,,Ja,"26297",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,151.000000000000000,7.0087987299,52.2473864703
,Rijksbeschermd,,Ja,"28126",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,152.000000000000000,6.5249265430,52.2618865750
