hex9,value
89196949383ffff,155
89196949387ffff,430
8919694938bffff,325
8919694938fffff,375
89196949393ffff,5
89196949397ffff,95
8919694939bffff,370
891969493a3ffff,520
891969493abffff,1025
891969493afffff,305
891969493b3ffff,755
891969493b7ffff,100
891969493bbffff,345
891969493c3ffff,95
891969493c7ffff,310
891969493cfffff,200
891969493d3ffff,90
891969493d7ffff,690
89196949407ffff,140
8919694940bffff,315
8919694940fffff,200
89196949413ffff,660
89196949417ffff,30
8919694941bffff,175
89196949423ffff,330
89196949427ffff,360
8919694942bffff,795
8919694942fffff,950
89196949433ffff,930
89196949437ffff,910
8919694943bffff,690
89196949443ffff,135
89196949447ffff,440
8919694944fffff,475
89196949463ffff,805
89196949467ffff,515
8919694946bffff,830
8919694946fffff,1085
89196949473ffff,730
89196949477ffff,630
8919694947bffff,690
89196949483ffff,585
89196949487ffff,425
8919694948bffff,455
8919694948fffff,300
89196949497ffff,220
8919694949bffff,185
891969494a3ffff,670
891969494a7ffff,1025
891969494abffff,700
891969494afffff,1185
891969494b3ffff,980
891969494b7ffff,770
891969494bbffff,360
891969494c3ffff,675
891969494c7ffff,590
891969494cbffff,20
891969494cfffff,325
891969494d3ffff,545
891969494d7ffff,425
891969494dbffff,30
89196949503ffff,495
89196949507ffff,950
8919694950bffff,1015
8919694950fffff,1100
89196949513ffff,740
89196949517ffff,685
8919694951bffff,820
89196949523ffff,35
8919694952bffff,1270
89196949533ffff,640
8919694953bffff,1325
89196949543ffff,720
89196949547ffff,960
8919694954bffff,500
8919694954fffff,1015
89196949553ffff,790
89196949557ffff,1190
8919694955bffff,885
89196949563ffff,615
89196949567ffff,185
8919694956bffff,170
8919694956fffff,100
89196949573ffff,450
89196949577ffff,755
8919694957bffff,375
89196949583ffff,685
89196949587ffff,575
8919694958bffff,1925
8919694958fffff,870
89196949593ffff,695
89196949597ffff,1105
8919694959bffff,1220
891969495a3ffff,570
891969495a7ffff,595
891969495abffff,805
891969495afffff,20
891969495b3ffff,885
891969495b7ffff,500
891969495bbffff,540
891969495c3ffff,1260
891969495c7ffff,1120
891969495cbffff,800
891969495cfffff,690
891969495d3ffff,1360
891969495d7ffff,1435
891969495dbffff,1290
89196949617ffff,60
89196949623ffff,720
89196949627ffff,740
8919694962bffff,225
8919694962fffff,490
89196949633ffff,185
89196949637ffff,605
8919694963bffff,20
8919694966bffff,10
8919694968fffff,20
891969496a3ffff,205
891969496a7ffff,645
891969496abffff,135
891969496afffff,580
891969496b3ffff,150
891969496b7ffff,10
891969496bbffff,5
891969496c3ffff,5
891969496cbffff,10
891969496cfffff,5
891969496d7ffff,15
89196949817ffff,5
8919694982bffff,10
